,index,title,date,link
0,10006,La Fiammetta by Giovanni Boccaccio,1907,http://www.gutenberg.org/ebooks/10006
1,1001,Divine Comedy Inferno by Dante Alighieri,1882,http://www.gutenberg.org/ebooks/1001
2,10021,Tenterhooks by Ada Leverson,1912,http://www.gutenberg.org/ebooks/10021
3,10024,Beneath the Banner by F. J. Cross,1895,http://www.gutenberg.org/ebooks/10024
4,10028,Spalding's Official Baseball Guide 1913 Edited by John B. Foster,1913,http://www.gutenberg.org/ebooks/10028
5,10031,Edgar Allan Poe's Complete Poetical Works,1874,http://www.gutenberg.org/ebooks/10031
6,10056,Chinese Literature by Anonymous,1900,http://www.gutenberg.org/ebooks/10056
7,10077,The Atlantic Monthly Vol. 10 No. 60 October 1862 by Various,1862,http://www.gutenberg.org/ebooks/10077
8,10079,The Atlantic Monthly Vol. 2 No. 9 July 1858 by Various,1858,http://www.gutenberg.org/ebooks/10079
9,10089,Elves and Heroes by Donald A. MacKenzie,1909,http://www.gutenberg.org/ebooks/10089
10,10100,Byron by John Nichol,1824,http://www.gutenberg.org/ebooks/10100
11,10102,The Czar's Spy by William Le Queux,1905,http://www.gutenberg.org/ebooks/10102
12,10112,American Political Ideas Viewed From The Standpoint,1879,http://www.gutenberg.org/ebooks/10112
13,10126,Home-Life of the Lancashire Factory Folk during the Cotton Famine,1862,http://www.gutenberg.org/ebooks/10126
14,10130,The Works of Charles and Mary Lamb Vol. 3 Books for Children,1809,http://www.gutenberg.org/ebooks/10130
15,10133,The Vigil of Venus and Other Poems by Q,1911,http://www.gutenberg.org/ebooks/10133
16,10136,The Book of Household Management by Mrs. Isabella Beeton,1861,http://www.gutenberg.org/ebooks/10136
17,10138,The Atlantic Monthly Vol. 1 No. 2 December 1857 by Various,1857,http://www.gutenberg.org/ebooks/10138
18,10140,Rhetoric and Poetry in the Renaissance by Donald Lemen Clark,1641,http://www.gutenberg.org/ebooks/10140
19,10149,Home as Found by James Fenimore Cooper,1871,http://www.gutenberg.org/ebooks/10149
20,10150,Dracula's Guest by Bram Stoker,1914,http://www.gutenberg.org/ebooks/10150
21,10159,England and the War by Walter Raleigh,1914,http://www.gutenberg.org/ebooks/10159
22,10161,English Poets of the Eighteenth Century by Various,1737,http://www.gutenberg.org/ebooks/10161
23,10162,Dio's Rome Vol. 3 by Cassius Dio,1906,http://www.gutenberg.org/ebooks/10162
24,10163,Mohammedanism by C. Snouck Hurgronje,1895,http://www.gutenberg.org/ebooks/10163
25,10164,The Black Creek Stopping-House by Nellie McClung,1912,http://www.gutenberg.org/ebooks/10164
26,10202,Maria Mitchell: Life Letters and Journals by Maria Mitchell,1831,http://www.gutenberg.org/ebooks/10202
27,10212,Peck's Bad Boy at the Circus by George W. Peck,1906,http://www.gutenberg.org/ebooks/10212
28,10219,The Poetical Works of William Wordsworth Volume 1,1896,http://www.gutenberg.org/ebooks/10219
29,1021,The Congo and Other Poems by Vachel Lindsay,1914,http://www.gutenberg.org/ebooks/1021
30,1023,Bleak House by Charles Dickens,1731,http://www.gutenberg.org/ebooks/1023
31,10224,Kalitan Our Little Alaskan Cousin by Mary F. Nixon-Roulet,1907,http://www.gutenberg.org/ebooks/10224
32,10225,Their Crimes by Various,1917,http://www.gutenberg.org/ebooks/10225
33,10274,Sermons on Evil-Speaking by Isaac Barrow,1741,http://www.gutenberg.org/ebooks/10274
34,10314,Sonnets by Michael Angelo Buonarroti & Tommaso Campanella,1863,http://www.gutenberg.org/ebooks/10314
35,10315,Persian Literature Volume 1 Comprising The Shah Nameh,1909,http://www.gutenberg.org/ebooks/10315
36,1030,The Cavalier Songs and Ballads of England by Various,1863,http://www.gutenberg.org/ebooks/1030
37,1033,Rose O' the River by Kate Douglas Wiggin,1905,http://www.gutenberg.org/ebooks/1033
38,1037,The Life of John Bunyan by Edmund Venables,1888,http://www.gutenberg.org/ebooks/1037
39,1038,Style by Walter Raleigh,1904,http://www.gutenberg.org/ebooks/1038
40,10336,A Select Collection of Old English Plays Vol. 7 (4th edn.) by Various,1744,http://www.gutenberg.org/ebooks/10336
41,10339,An Antarctic Mystery by Jules Verne,1899,http://www.gutenberg.org/ebooks/10339
42,10343,The Works of Charles and Mary Lamb Vol. 2: Elia by Charles Lamb,1833,http://www.gutenberg.org/ebooks/10343
43,10345,Domestic Manners of the Americans by Fanny Trollope,1832,http://www.gutenberg.org/ebooks/10345
44,10351,The Works of Samuel Johnson Volume 10 by Samuel Johnson,1766,http://www.gutenberg.org/ebooks/10351
45,10357,Life Of Johnson Volume 4 of 6 by Boswell,1784,http://www.gutenberg.org/ebooks/10357
46,10360,Kitty's Class Day And Other Stories by Louisa M. Alcott,1882,http://www.gutenberg.org/ebooks/10360
47,10361,The Creative Process in the Individual by Thomas Troward,1910,http://www.gutenberg.org/ebooks/10361
48,10375,England's Antiphon by George MacDonald,1868,http://www.gutenberg.org/ebooks/10375
49,10382,Memoir of Wm Watts McNair by J. E. Howard,1884,http://www.gutenberg.org/ebooks/10382
50,10388,Old English Plays Vol. 1 by Various,1889,http://www.gutenberg.org/ebooks/10388
51,10389,Northern Trails Book 1 by William J. Long,1905,http://www.gutenberg.org/ebooks/10389
52,10409,The Crisis of the Naval War by John Rushworth Jellicoe,1918,http://www.gutenberg.org/ebooks/10409
53,10410,The Powers and Maxine by Charles Norris Williamson,1907,http://www.gutenberg.org/ebooks/10410
54,1042,A Reading of Life by George Meredith,1901,http://www.gutenberg.org/ebooks/1042
55,1044,Extract from Captain Stormfield's Visit to Heaven by Mark Twain,1909,http://www.gutenberg.org/ebooks/1044
56,10430,Trips to the Moon by Lucian,1781,http://www.gutenberg.org/ebooks/10430
57,10434,Wyandotte by James Fenimore Cooper,1871,http://www.gutenberg.org/ebooks/10434
58,10435,The Atlantic Monthly Vol. 2 No. 12 October 1858 by Various,1858,http://www.gutenberg.org/ebooks/10435
59,10445,American Big Game in Its Haunts by Various,1897,http://www.gutenberg.org/ebooks/10445
60,10451,Boswell's Life Of Johnson Volume 5 by James Boswell,1773,http://www.gutenberg.org/ebooks/10451
61,10452,Peter's Mother by Mrs. Henry De La Pasture,1906,http://www.gutenberg.org/ebooks/10452
62,10456,The Atlantic Monthly Vol. 2 No. 11 September 1857 by Various,1858,http://www.gutenberg.org/ebooks/10456
63,10461,Journals of Australian Explorations by A C and F T Gregory,1858,http://www.gutenberg.org/ebooks/10461
64,10467,A Select Collection of Old English Plays Vol. VIII,1744,http://www.gutenberg.org/ebooks/10467
65,10469,Johnny Crow's Garden by L. Leslie Brooke,1903,http://www.gutenberg.org/ebooks/10469
66,10479,Our Churches and Chapels by Atticus,1869,http://www.gutenberg.org/ebooks/10479
67,10489,An English Garner by Various,1890,http://www.gutenberg.org/ebooks/10489
68,10491,Practice Book by Leland Powers,1909,http://www.gutenberg.org/ebooks/10491
69,10495,Under King Constantine by Katrina Trask,1893,http://www.gutenberg.org/ebooks/10495
70,10517,Government and Rebellion by E. E. Adams,1861,http://www.gutenberg.org/ebooks/10517
71,1056,Martin Eden by Jack London,1913,http://www.gutenberg.org/ebooks/1056
72,1057,Poems by Oscar Wilde,1913,http://www.gutenberg.org/ebooks/1057
73,1058,The Mirror of the Sea by Joseph Conrad,1907,http://www.gutenberg.org/ebooks/1058
74,1059,The World Set Free by H. G. Wells,1914,http://www.gutenberg.org/ebooks/1059
75,10545,The Sea Lions by James Fenimore Cooper,1860,http://www.gutenberg.org/ebooks/10545
76,10550,A Select Collection of Old English Plays Vol. 9 by Various,1744,http://www.gutenberg.org/ebooks/10550
77,10557,Johnny Crow's Party by L. Leslie Brooke,1907,http://www.gutenberg.org/ebooks/10557
78,10585,My Strangest Case by Guy Boothby,1901,http://www.gutenberg.org/ebooks/10585
